rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,chart_week,is_new_entry,rank_change,genre
1,spotify:track:68lbSrXDORS51pmyjZv712,BTS,SWIM,BIGHIT MUSIC,1,1,3,2619216,2026-04-09,FALSE,0,Pop
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,2,143,2257601,2026-04-09,FALSE,0,Pop
3,spotify:track:0wvpRHXXuImyrccNEPAXBo,HIEUTHUHAI,Người Im Lặng Gặp Người Hay Nói,M Music Records,2,3,5,1079841,2026-04-09,FALSE,0,Rap/Hip-hop
4,spotify:track:1ApIGNgp1azc0qB61x4GzG,"Hngle, Ari",Không Buông,Umusic Vietnam Co. Ltd. Distributed Labels,2,4,31,1060453,2026-04-09,FALSE,0,Pop
5,spotify:track:11T61UpoNbbcewOMl1kcWN,NHONHO,Dạo Bước HongKong 1999,NHONHO,5,10,2,1031378,2026-04-09,FALSE,5,Indie/Alternative
6,spotify:track:42AOwjuMmIN1ioyyWB60Lw,GREY D,hoá ra…,Umusic Vietnam Co. Ltd. Distributed Labels,6,8,2,1024758,2026-04-09,FALSE,2,R&B/Soul
7,spotify:track:7uUuftbcr94tzGOCJSM25u,"Low G, JustaTee",In Love,M Music Records,2,5,24,805677,2026-04-09,FALSE,-2,Rap/Hip-hop
8,spotify:track:5KYv3kORBKUmVEoqbRRWxt,"Bảo Anh, Táo",Từng Là Của Nhau,Yin Yang Media,7,7,31,760966,2026-04-09,FALSE,-1,Ballad
9,spotify:track:4nXrVH5xwN1w6TpmP7uu8n,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,4,6,130,737075,2026-04-09,FALSE,-3,Rap/Hip-hop
10,spotify:track:6GM4ZOBDcDroldUxI8GZ2B,"VSTRA, Tyronee",Ai Ngoài Anh,CDSL,2,9,14,647102,2026-04-09,FALSE,-1,R&B/Soul
11,spotify:track:6Qwl74olNi1rl65FNxG5We,"marzuz, Changg",Và Thế Giới Đã Mất Đi Một Người Cô Đơn,Universal Music Indochina,9,14,20,638564,2026-04-09,FALSE,3,Ballad
12,spotify:track:3vSmjbKFByNM6l31NmFlmB,"GREY D, MIN",đôi mắt kẻ tình si,Umusic Vietnam Co. Ltd. Distributed Labels,12,50,2,603600,2026-04-09,FALSE,38,R&B/Soul
13,spotify:track:1FUdEz4fX1DxPcVAARlu6A,GREY D,yêu em như…,Umusic Vietnam Co. Ltd. Distributed Labels,13,40,2,565662,2026-04-09,FALSE,27,R&B/Soul
14,spotify:track:73RcFjiDtStfP3GCW44vJu,"Minh Huy, Pinny",Ngày Rời Chuyến Bay,12 trái lê,14,-1,1,556566,2026-04-09,TRUE,NaN,Ballad
15,spotify:track:41DlPJXKTCypXdf2eSqa03,"Vũ., Binz",bình yên,WM Vietnam,4,13,84,552347,2026-04-09,FALSE,-2,Rap/Hip-hop
16,spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC,"Shartnuss, Phankeo, Tr.D",Nắng có mang em về,MaiDao Music,4,17,113,543041,2026-04-09,FALSE,1,Indie/Alternative
17,spotify:track:0t8g66pWghsU8MphjUQIdg,"Phùng Khánh Linh, 30 Pictures",Cảm Ơn Người Đã Thức Cùng Tôi,+84 Vietnam New Wave,5,12,7,529185,2026-04-09,FALSE,-5,Ballad
18,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,24,126,516928,2026-04-09,FALSE,6,Pop
19,spotify:track:6GUKRhIsWxA7VuZW8MKQLG,Dương Domic,Không Thời Gian,DAO Entertainment,2,15,29,515395,2026-04-09,FALSE,-4,R&B/Soul
20,spotify:track:2wZAvkgiOE5tyrnqhB69KA,Sơn Tùng M-TP,Âm Thầm Bên Em,Umusic Vietnam Co. Ltd. Distributed Labels,9,20,285,512938,2026-04-09,FALSE,0,Ballad
21,spotify:track:1K0HQ30Wc11okzlcnFA7Ub,HIEUTHUHAI,Không Thể Say,M Music Records,7,19,155,503946,2026-04-09,FALSE,-2,Rap/Hip-hop
22,spotify:track:2a5hng9yXtbjtTVVm9UviC,VCT,Mơ,Universal Music Indochina Distributed Labels,6,18,189,502236,2026-04-09,FALSE,-4,Pop
23,spotify:track:0NyrI1tMvqcK3vU5z9DMdI,JustaTee,She Neva Knows,NGUYEN THANH TUAN,21,21,10,502099,2026-04-09,FALSE,-2,R&B/Soul
24,spotify:track:3T7XHOdRcyhKU3QCB6kZG3,"MIN, Dangrangto, antransax",chẳng phải tình đầu sao đau đến thế,WM Vietnam,2,16,24,499905,2026-04-09,FALSE,-8,Indie/Alternative
25,spotify:track:5cn5oHiXJTLiuthgbgfkMh,VCT,Vết Mưa,Universal Music Indochina Distributed Labels,19,23,109,487966,2026-04-09,FALSE,-2,Ballad
26,spotify:track:3uT8QfoX0BE8ZJa4h98LDW,"Puppy, Dangrangto",Wrong Times,MaiDao Music,3,25,127,486187,2026-04-09,FALSE,-1,Indie/Alternative
27,spotify:track:22GCbN9OyrCa1tC1jZnX8O,"Thắng, Hà Lê",Gội Đầu,Thắng,27,-1,1,477543,2026-04-09,TRUE,NaN,Indie/Alternative
28,spotify:track:4BdB08vuS9r4HOoY7GkAxT,SOOBIN,Nếu Ngày Ấy,SS LABEL,18,26,68,446546,2026-04-09,FALSE,-2,Ballad
29,spotify:track:4nyoalDFgUaZOzIKqj3aS5,"Đặng Vĩnh Thịnh, BMZ, Nguyễn Trung Đức",Ngàn Năm Ánh Sáng,BMZ JSC,5,34,35,446335,2026-04-09,FALSE,5,Ballad
30,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,30,206,446122,2026-04-09,FALSE,0,R&B/Soul
31,spotify:track:4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,33,227,410686,2026-04-09,FALSE,2,Ballad
32,spotify:track:6Zoi4ue74UdUeYmHXItXnf,"B Ray, V#",Vùng An Toàn,MIXUS,3,35,40,391804,2026-04-09,FALSE,3,Rap/Hip-hop
33,spotify:track:3dbfL7nHOZlM4adzLHNnB3,"Juky San, buitruonglinh",Người Đầu Tiên,DAO Entertainment,2,11,23,391013,2026-04-09,FALSE,-22,Ballad
34,spotify:track:5prZw3OHd2UhAq0VBKpqUM,GREY D,mới hôm qua,Umusic Vietnam Co. Ltd. Distributed Labels,34,138,2,387186,2026-04-09,FALSE,104,R&B/Soul
35,spotify:track:5SzJs9cwYXdSm9G3xcXuA2,Phùng Khánh Linh,Hôm Nay Tôi Buồn,BLACK SWAN LABEL LLC.,13,31,154,385009,2026-04-09,FALSE,-4,Ballad
36,spotify:track:3x7Hh3zsE1wcXCU2G8l5tP,SOOBIN,DANCING IN THE DARK,SS LABEL,3,32,56,381164,2026-04-09,FALSE,-4,EDM/Dance
37,spotify:track:4gaxEUZE4z9pJAVTSFwgQI,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,14,28,106,375502,2026-04-09,FALSE,-9,Indie/Alternative
38,spotify:track:1r9gNSD1WUFscqTSA2Rcet,MAYDAYs,Hẹn Lần Sau,Universal Music Indochina Distributed Labels,13,37,16,372875,2026-04-09,FALSE,-1,Indie/Alternative
39,spotify:track:5rSAUmbOg4giDrM29vUyHe,Sơn Tùng M-TP,Nơi Này Có Anh,Umusic Vietnam Co. Ltd. Distributed Labels,5,48,357,371852,2026-04-09,FALSE,9,Pop
40,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,39,207,371630,2026-04-09,FALSE,-1,Rap/Hip-hop
41,spotify:track:5WkuMbkHX7yR7nnBKCn7tV,RIO,vạn vật như muốn ta bên nhau,DAO Entertainment,6,29,52,366351,2026-04-09,FALSE,-12,Indie/Alternative
42,spotify:track:6mKMGpkgP2cH5gmqILWe7b,Fishy,vết thương,LOOPS Music,15,36,47,358573,2026-04-09,FALSE,-6,Ballad
43,spotify:track:1DVYafsLmcQySKkJnY4RCs,"MAYDAYs, Minh Tốc & Lam",Phép Màu - Đàn Cá Gỗ Original Soundtrack,Universal Music Indochina Distributed Labels,2,38,58,355476,2026-04-09,FALSE,-5,Khác
44,spotify:track:58ZlEBxBrzISXtmcOPo476,SOOBIN,giá như,SS LABEL,13,42,104,353144,2026-04-09,FALSE,-2,Ballad
45,spotify:track:0e6fZkLArSmDIHnZcIua7t,"Vũ., Low G",Không Yêu Em Thì Yêu Ai?,WM Vietnam,19,52,80,345287,2026-04-09,FALSE,7,Indie/Alternative
46,spotify:track:7bFFUPBiF15n8m8RziqS4o,GREY D,dự báo thời tiết hôm nay mưa,Umusic Vietnam Co. Ltd. Distributed Labels,7,89,177,340069,2026-04-09,FALSE,43,R&B/Soul
