STT,Tên bài hát,Nghệ sĩ,Hạng hiện tại,Số hạng tăng,Lượt nghe hiện tại,Lượt nghe dự báo 02/07,Tăng trưởng dự báo (%),Điểm tiềm năng
1,Người Im Lặng Gặp Người Hay Nói,HIEUTHUHAI,9,2.0,640492,602228.9870341244,-5.974003260911231,69.79
2,toidaidot,GREY D,14,1.0,595561,559573.9739837421,-6.042542412323496,66.47
3,vết thương,Fishy,16,1.0,590946,564039.3209402409,-4.553153597749901,63.09
4,Exit Sign,"HIEUTHUHAI, marzuz",8,1.0,640784,610559.4811782918,-4.716802982238658,62.63
5,yêu em như…,GREY D,129,43.0,211317,196931.327492456,-6.807626697115703,59.76
6,Người Đáng Thương Là Anh,Only C,102,33.0,240846,234807.14134766962,-2.5073526869162794,56.8
7,REDRED,CORTIS,25,1.0,459647,438149.59190799657,-4.676938627251658,56.52
8,FaSHioN,CORTIS,141,39.0,202741,198366.27693829857,-2.157789032164894,54.39
9,TNT,CORTIS,113,30.0,229389,220557.06202112662,-3.8502011774206166,53.68
10,Buông,Hngle,85,14.0,263255,253225.8627189946,-3.809666399880491,46.85
