STT,Tuần,Tên bài hát,Nghệ sĩ,Hạng hiện tại,Số hạng tăng,Số tuần trên BXH,Lượt nghe,Điểm tiềm năng
1,2026-06-25,Người Im Lặng Gặp Người Hay Nói,HIEUTHUHAI,9,2,16,640492,69.79
2,2026-06-25,toidaidot,GREY D,14,1,3,595561,66.47
3,2026-06-25,vết thương,Fishy,16,1,58,590946,63.09
4,2026-06-25,Exit Sign,"HIEUTHUHAI, marzuz",8,1,141,640784,62.63
5,2026-06-25,yêu em như…,GREY D,129,43,13,211317,59.76
6,2026-06-25,Người Đáng Thương Là Anh,Only C,102,33,23,240846,56.8
7,2026-06-25,REDRED,CORTIS,25,1,10,459647,56.52
8,2026-06-25,FaSHioN,CORTIS,141,39,29,202741,54.39
9,2026-06-25,TNT,CORTIS,113,30,8,229389,53.68
10,2026-06-25,Buông,Hngle,85,14,19,263255,46.85
